isn_dob_bis_viol,boro,bin,block,lot,issue_date,violation_type_code,violation_number,house_number,street,device_number,description,number,violation_category,violation_type,disposition_date,disposition_comments
20083,1,0,859.0,39.0,19881014,E,1156A/1,424,4TH AVE,1P5330,(51) RESTORE ELEVATOR TO FULL WORKING ORDER SO A COMPLETE                       INSPECTION. CAN BE MADE BY THIS DEPARTMENT,V101488E1156A/1,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
20084,1,0,859.0,39.0,19881014,E,1156A/2,424,4TH AVE,1P5332,,V*101488E1156A/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890602.0,045-74
29274,1,0,859.0,48.0,19881220,E,1156A\2,434,4TH AVE,1F3252,(47)LIGHTING (51)REMOVE ENTIRELY EMERGENCY BY-PASS SWITCH,V122088E1156A\2,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
29319,1,0,859.0,48.0,19881220,E,1156A\4,434,4TH AVE,1P3253,(51)REMOVE ENTIRELY EMERGENCY BY-PASS SWITCH FROM ELEVATOR,V122088E1156A\4,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
29308,1,0,859.0,7503.0,19881220,E,1156A\3,434,4TH AVE,1P5338,(10)PROVIDE 5 PIN KEY LOCKS TO ALL SIDE DOORS                                   (11&12)NOT RINGING.(15)SECURE TOP COVER (47)COVER ELECTRIC DOORS,V122088E1156A\3,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
28113,1,0,860.0,37.0,19881230,E,1156A\2,442,FOURTH AVE,1P11826,(01)JUMPED FUSES (47)WALLS (51)CLEAN OIL OFF BEDPAN (52)RETURN                  ROPE GUARDS TO PROPER POSITION,V123088E1156A\2,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
28107,1,0,860.0,40.0,19881230,E,1156A\1,442,FOURTH AVE,1P11825,,V123088E1156A\1,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
38019,1,0,860.0,45.0,19881228,E,1156A/04,456,4TH AVE,1P5350,(21 & 24) RESHACKLE (51) PROPERLY TAG GOVERNOR TO SHOW 5YR SAFETY               TESTS,V122888E1156A/04,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,
2607,1,1000005,4.0,1.0,19880725,E,144935/1,1,WATER STREET,1P28915,(51)PROPERLY RESTORE VENT SYSTEM TO PROPER WORKING ORDER,V*072588E144935/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881014.0,111-75
3010,1,1000005,4.0,1.0,19880727,E,144935/1,1,WATER STREET,1E851,PROPERLY ADJUST DRIVE TO ELIMINATE JERKING MOTION OF ELEV,V*072788E144935/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881014.0,111-75
2610,1,1000005,4.0,1.0,19880728,E,144935/1,1,WATER STREET,1E866,(51)ADJUST CHAIN DRIVE TO PROVIDE SMOOTH TRAVEL.(52)PROPERLY                    ADJUST HAND RAIL,V*072888E144935/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19880927.0,056-74
3452,1,1000006,5.0,1.0,19880711,E,144935/2,117,BROAD ST,1P28292,,V*071188E144935/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881102.0,065-75
3446,1,1000006,5.0,1.0,19880711,E,144935/1,117,BROAD ST,1P28290,,V*071188E144935/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881202.0,065-75
3450,1,1000006,5.0,1.0,19880712,E,144935/2,117,BROAD ST,1P28299,,V071288E144935/2,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,DELETED BY SCL ON 08/29/91 BECAUSE BELONGS TO 4 NEW YORK PLAZA
4372,1,1000006,5.0,1.0,19880712,E,1449,117,BROAD ST,1P28304,,V*071288E1449,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881202.0,065-75
3445,1,1000006,5.0,1.0,19880712,E,144935/1,117,BROAD ST,1P28291,,V*071288E144935/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881202.0,065-75
3449,1,1000006,5.0,1.0,19880712,E,144935/3,117,BROAD ST,1P28300,,V*071288E144935/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881202.0,065-75
3448,1,1000006,5.0,1.0,19880712,E,144935/5,117,BROAD ST,1P28303,CLOSE HOLE IN CAB WHERE OLD ASH TRAY WAS REMOVED,V*071288E144935/5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890724.0,
17585,1,1000006,5.0,1.0,19880919,E,14731\1,117,BROAD ST,1P30977,(21)CAR#4 REMOVE OLD ROPES FROM PIT (45)CLEAN AREA,V*091988E14731\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890111.0,141-75
50145,1,1000006,5.0,1.0,19880920,E,147301-01,117,BROAD ST,1P30988,,V*092088E147301-01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890221.0,141-75
16472,1,1000006,5.0,1.0,19880921,E,14731\1,117,BROAD ST,1P29759,(51)PROVIDE CAPACITY PLATE IN CARS,V*092188E14731\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890111.0,141-75
423317,1,1000011,7.0,30.0,19840615,LANDMK,84-0574,24,WATER STREET,,,V*061584LANDMK84-0574,V*-DOB VIOLATION - DISMISSED,LANDMK-LANDMARK                                                        NONE,20010518.0,
73231,1,1000011,7.0,30.0,19840615,LANDMRK,VIOL,24,WATER STREET,,,V*061584LANDMRKVIOL,V*-DOB VIOLATION - DISMISSED,LANDMRK-LANDMARK                                                        NONE,20010518.0,
24878,1,1000016,8.0,44.0,19881118,E,117101/04,102,BROAD ST,1P11388,(51) PROPERLY DATE AND TAG GOVERNOR FOR FIVE (5) YEAR SAFTEY TST,V*111888E117101/04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901130.0,
24871,1,1000016,8.0,44.0,19881118,E,117101/01,102,BROAD ST,1P11047,(51) REMOVE EMERGENCY BY PASS KEY SWITCH IN ELEVATOR . TOTALLY                  (52) PROPERLY DATE AND TAG GOVERNOR FOR FIVE (5) YEAR SAFTEY TEST,V*111888E117101/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901203.0,
24874,1,1000016,8.0,44.0,19881118,E,117101/02,102,BROAD ST,1P11048,(51) PROPERLY DATE AND TAG GOVERNOR FOR FIVE (5) YEAR SAFTEY TEST,V*111888E117101/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901203.0,
24876,1,1000016,8.0,44.0,19881118,E,117101/03,102,BROAD ST,1P11049,(51) PROPERLY DATE AND TAG GOVERNOR FOR FIVE (5) YEAR SAFTEY TEST,V*111888E117101/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901203.0,
24888,1,1000016,8.0,44.0,19881118,E,117101/06,102,BROAD ST,1F19,(51) PROPERLY DATE GOVERNOR FIVE YEAR SAFTEY TEST. (52) REMOVE                  EMERGENCY BY PASS KEY SWITCH TOTALLY. (53) REMOVE OR REPAIR RUBBING             NOISE IN ELEVATOR WHILE GOING FROM 1ST FLOOR TO BAS,V*111888E117101/06,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901203.0,
24880,1,1000016,8.0,44.0,19881118,E,117101/05,102,BROAD ST,1P11389,(51) PROPERLY DATE AND TAG GOVERNOR FOR FIVE (5) YEAR SAFTEY TEST,V*111888E117101/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,20000828.0,CIACGR ADM.DISM.
15547,1,1000021,9.0,29.0,19880906,E,110635/1,22,WHITEHALL ST,1P28590,(51)PROVIDE PROPER CLEARANCE BETWEEN COUNTER WEIGHT + BUFFER,V*090688E110635/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890915.0,
9330,1,1000021,9.0,29.0,19880907,E,110635/1,22,WHITEHALL ST,1P28838,PROVIDE PROPER CLEARANCE BETWEEN COUNTERWEIGHT & BUFFER,V*090788E110635/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891004.0,
8263,1,1000027,10.0,23.0,19880816,E,11579/5,1,WHITEHALL ST,1P26075,(51) PERFERM THE REQUIRED 5YR SAFETY TEST ON ELEV,V*081688E11579/5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910403.0,
13267,1,1000030,11.0,7.0,19880930,E,1197A-05,16,BEAVER ST,1P218,(01)REPAIR BASEMENT RELAY                                                       .....(33)REMOVE LOCKS FROM HOISTWAY DOORS                                       .....(34)REPAIR SAFETY EDGE OF NORTH ELEVATOR CAR DOOR                          .....(47)REMOVE DIRT & DEBRIS FROM VENT DUCT                                    .....(51)PROVIDE OUTSIDE COMM. SYSTEM.(52)TAG GOV. FOR 5 YR. TEST,V*093088E1197A-05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910404.0,
13270,1,1000031,11.0,9.0,19880930,E,1197A-06,18,BEAVER ST,1P2990,"(21, 23, & 24)RESHACKLE & TAG.(45)DRAIN WATER IN PIT.(51)FILE FOR               PERMIT (ALTERATION).(52)REPAIR FLOOR INDICATOR IN CAR",V*093088E1197A-06,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890915.0,165-76
39879,1,1000032,11.0,10.0,19881213,E,142628/2,20,BEAVER STREET,1F26,(51)REMOVE ALL DROP KEYS FROM ALL HOISTWAY DOORS,V*121388E142628/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19970828.0,CIALDE ADMINSTRATION DISMISSAL
13276,1,1000035,11.0,14.0,19880930,E,1197A-08,24,BEAVER ST,1P4599,(51)CLEAN TOP & BOTTOM OF CAR,V*093088E1197A-08,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890714.0,
19447,1,1000037,11.0,17.0,19881005,E,117101/14,74,BROAD ST,1P14097,(27)COUNTERWEIGHT PROVIDE (51)PROVIDE PROPER OUTSIDE                            COMMUNICATION  (52)FILE NESCESSARY PAPER WORK WITH THIS DEPT                    FOR NEW CONTROLLER,V*100588E117101/14,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910225.0,
18938,1,1000038,11.0,21.0,19881003,E,117101/05,78,BROAD ST,1P18964,(51) PROPERLY WIRE & CLOSEUP ALL ELECTRICAL BOXES IN PIT SPACE,V*100388E117101/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890116.0,303-83
19272,1,1000038,11.0,21.0,19881003,E,117101/06,78,BROAD ST,1P18966,,V*100388E117101/06,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890116.0,303-83
18946,1,1000038,11.0,21.0,19881003,E,117101/03,78,BROAD ST,1P18962,"(51) REPAIR OR REPLACE CAB WALLS, ALSO CAB FLOORING. (52) REPAIR                CAR ANNUCIATORS. (53) REMOVE DOOR BY PASS KEY SWITCH TOTALLY FROM SIDE          OF CAB",V*100388E117101/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900327.0,303-83
18940,1,1000038,11.0,21.0,19881003,E,117101/04,78,BROAD ST,1P18963,,V*100388E117101/04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901121.0,
19276,1,1000038,11.0,21.0,19881003,E,117101/07,78,BROAD ST,1P18967,,V*100388E117101/07,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901121.0,
19256,1,1000038,11.0,21.0,19881003,E,117101/01,78,BROAD ST,1P18957,,V*100388E117101/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901126.0,
19257,1,1000038,11.0,21.0,19881003,E,117101/02,78,BROAD ST,1P18958,,V*100388E117101/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920511.0,CIACGR
27309,1,1000041,11.0,29.0,19881213,E,132235\01,11,STONE ST,1P11480,"(21,24)DATE AND TAG FOR RESHACKLING",V*121388E132235\01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910225.0,
6902,1,1000043,13.0,1.0,19880826,E,14732/1,1,BROADWAY,1P12014,(1) PROPERLY FUSE (11) REPLACE PUSH BUTTON (51) TAG & DATE                      GOVERNOR INDICATING RECENT 5YR TEST,V*082688E14732/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890105.0,074-75
6901,1,1000043,13.0,1.0,19880826,E,14732/2,1,BROADWAY,1P31708,PROPERLY TAG & DATE GOVERNOR INDICATING 5YR TEST,V*082688E14732/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910227.0,
6898,1,1000044,13.0,5.0,19880829,E,14732/2,5,BWAY,1P2296,RESTORE TO PROPER OPERATION AT FILE BUILDING NOTICE TO                          DISMANTLE OR REMOVE,V*082988E14732/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910827.0,
6891,1,1000044,13.0,5.0,19880829,E,14732/3,5,BWAY,1P22,(51) RESTORE CAR VENT FAN TO PROPER OPERTATION (52) TAG & DATE                  GOVERNOR INDICATING RECENT 5YR TEST,V*082988E14732/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910827.0,
6889,1,1000044,13.0,5.0,19880829,E,14732/5,5,BWAY,1P25,(51) ELIMINATE EXCESSIVE NOISE IN SHAFT (52) REMOVE BROKEN                      SELECTOR TAPE FROM SHAFT (53) TAG & DATE COVER INDICATING RECENT                5YR TEST (54) RESTORE CONVENT FAN TO OPERATION,V*082988E14732/5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910828.0,
6890,1,1000044,13.0,5.0,19880829,E,14732/1,5,BWAY,1P19,RESTORE ELEV. TO PROPEL OPERATION AT FILE BUILDING NOTICE TO                    DISMANTLE OR REMOVE,V*082988E14732/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920527.0,
6885,1,1000044,13.0,5.0,19880829,E,14732/4,5,BWAY,1P24,(51) RESTORE CAR VENT FAN TO PROPER OPERATION (52) TAG & DATE                   GOVERNOR INDICATING RECENT 5YR TEST,V*082988E14732/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920527.0,
6883,1,1000044,13.0,5.0,19880829,E,14732/6,5,BWAY,1P23,(51) RESTORE CAB VENT FAN TO OPERATION (52) TAG & DATE GOVERNOR                 INDICATING RECENT 5YR TEST,V*082988E14732/6,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920527.0,
6899,1,1000044,13.0,5.0,19880829,E,14732/7,5,BWAY,1P3339,(51) RESTORE CAR VENT FAN TO PROPER OPERATION (52)TAG & DATE                    GOVERNOR INDICATING RECENT 5YR TEST,V*082988E14732/7,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920529.0,
6900,1,1000044,13.0,5.0,19880830,E,14732/1,5,BWAY,1P20307,RESTORE TO SERVICE OR FILE BUILDING NOTICE TO DISMANTLE OR                      REMOVE,V*083088E14732/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910827.0,
6892,1,1000044,13.0,5.0,19880830,E,14732/2,5,BWAY,1F27,"(19) ADJUST TRIP BAR (21) RESHACKLE, TAG & DATE (51) TAG & DATE                 GOVERNOR INDICATING RECENT 5YR TEST",V*083088E14732/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920527.0,
6910,1,1000045,13.0,27.0,19880831,E,14731/1,25,BROADWAY,1P11935,,V*083188E14731/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890621.0,111-75
6916,1,1000045,13.0,27.0,19880831,E,14731/2,25,BROADWAY,1P11941,(20 & 35) RESTORE TO PROPER OPERATION,V*083188E14731/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891211.0,111-75
18581,1,1000792,17.0,27.0,19881123,E,144935/1,33,RECTOR ST,1P108,(51)PROVIDE COVERS FOR ALL ELECT. BOXES THRU OUT.(52)CLOSE HOLE                 UNDER SECONDARY TO SHAFT (53)REPAIR CAB LIGHT BOTTOM OF CAR,V*112388E144935/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910905.0,
18585,1,1000792,17.0,27.0,19881123,E,144935/2,33,RECTOR ST,1P109,(51)REPAIR OR RENEW GENERATOR (52)REPLACE ALL ELECTRICAL BOXES                  (53)RESTORE ELEV. TO PROPER WORKING CONDITION SO A COMPLETE INSP                CAN BE MADE BY THIS DEPT,V*112388E144935/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910905.0,
18590,1,1000792,17.0,27.0,19881123,E,144935/3,33,RECTOR ST,1P110,(51)PROVIDE COVERS FOR ALL ELECT. BOXES THRU OUT,V*112388E144935/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910905.0,
18592,1,1000792,17.0,27.0,19881123,E,144935/4,33,RECTOR ST,1P111,(51)RENDER LIGHT SWITCH IN CAR INOPERABLE,V*112388E144935/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910905.0,
11774,1,1000792,17.0,27.0,19870811,E,144911,33,RECTOR STREET,,,V*081187E144911,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881123.0,
37974,1,1000794,18.0,27.0,19881118,E,144935/03,19,RECTOR ST,1P18696,(51) REPAIR GENERATOR COMMUNCATOR,V*111888E144935/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900315.0,303-83
18575,1,1000794,18.0,27.0,19881119,E,144935/2,19,RECTOR ST,1P18695,REPAIR GENERATOR COMMUTATOR,V*111988E144935/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900315.0,303-83
18577,1,1000794,18.0,27.0,19881121,E,144935/1,19,RECTOR ST,1P18698,REPAIR GENERATOR COMMUTATOR,V*112188E144935/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900315.0,303-83
15615,1,1000799,19.0,19.0,19880923,E,1156A/02,83,GREENWICH ST,1P22046,(01)REMOVE JUMPERS FROM BOARD.(47)CLEARLY MARK MAIN LINES FOR                   EACH CAR.(51)PROTECTION NEEDED AROUND FAN IN MOTOR ROOM,V*092388E1156A/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881228.0,280-82
18574,1,1000802,20.0,1.0,19881118,E,144935/3,29,BROADWAY,1P19065,,V*111888E144935/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891108.0,056-74
18567,1,1000802,20.0,1.0,19881118,E,144935/4,29,BROADWAY,1P19066,,V*111888E144935/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891108.0,056-74
18568,1,1000802,20.0,1.0,19881119,E,144935/1,29,BROADWAY,1P19068,REPAIR COMMUNTATOR HOIST MOTOR,V*111988E144935/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901108.0,
12916,1,1000812,22.0,20.0,19880930,E,147301/02,42,BROADWAY,1P28722,(01)REPLACE BROKEN RELAY.(47)PROVIDE ADEQUATE LIGHTING OVER                     EQUIPTMENT.(51)PROVIDE CAPACITY PLATE IN CAR.(52)TAG & DATE GOVERNOR            INDICATING RECENT 5 YEAR TEST,V*093088E147301/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910225.0,
12979,1,1000812,22.0,20.0,19880930,E,147301/03,42,BROADWAY,1P28725,(21)REINSTALL CABLE GUARDS IN SEONDARY.(33)PROVIDE PROVISIONS FOR               EMERGENCY PIT ACCESS.(51)PROVIDE CAPACITY PLATE IN CAB.(52)TAG GOV              FOR RECENT 5 YEAR TEST.(53)PROVIDE PROPER LIGHTING OVER MOTOR ROOM              EQUIPTMENT,V*093088E147301/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910226.0,
19411,1,1000812,22.0,20.0,19881003,E,14731/2,42,BROADWAY,1E68083,(51) CEASE USE UNTIL KEY START SWITCH RESTORED TO PROPER                        OPERATION (LOWER LEVEL),V*100388E14731/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890807.0,
20742,1,1000812,22.0,20.0,19881003,E,14731-3,42,BROADWAY,1E68082,(51)  RESTORE ESCALOTOR TO PROPER OPERATION,V*100388E14731-3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910225.0,
20718,1,1000812,22.0,20.0,19881003,E,14731/1,42,BROADWAY,1P28726,(51)ELIMINATE EXCESSIVE NOISE FROM HOIST MOTOR COMMULATOR                       (52)PROVIDE CAPACITY PLATE IN CAR(53)TAG GOVERNOR INDICATING RECENT             5 YR SAFETY TEST,V*100388E14731/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910226.0,
19202,1,1000813,22.0,24.0,19881004,E,14731-1,50,BROADWAY,1P15824,(39) REPLACE NALLER BOTTOM LIMIT  (57) SECURE SMOKE HALL GRATING                LOWER LEVEL (52) PROVIDE  CAPACITY PLATE IN CAR (53) THAG GOVERNOR IND          ICATING RECENT 5 YEARS TEST,V*100488E14731-1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890505.0,257-81
19163,1,1000813,22.0,24.0,19881004,E,14731-2,50,BROADWAY,1P15827,(7) ELIMINATE EXCESSIVE NOISE. (51) PROVIDE CAPACITY PLATE IN CAR                (52) TAG GOVENOR INDICATING RECENT ROUGE 5 YEARS TEST,V*100488E14731-2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890505.0,257-81
19158,1,1000813,22.0,24.0,19881004,E,14731-3,50,BROADWAY,1P15829,"(51) PROVIDE CAPACITY PLATE, IN CARS (52) TAG GOVENORS INDICATING                RECENT 5, YEAR TEST",V*100488E14731-3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890505.0,257-81
17247,1,1000814,22.0,28.0,19881006,E,147301/01,52,BROADWAY,1P31838,51)TAG GOVERNOR INDICATING 5YRS TEST 52)PROVIDE CAPACITY PLATE                  IN CAB 53)REPLACE HANDCAP FEATURE WHERE MISSING,V*100688E147301/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890808.0,
20059,1,1000814,22.0,28.0,19881006,E,14731/1,52,BROADWAY,1E1252,(51)CEASE USE OF ESCALATOR UNTIL KEY SWITCH IS REPAIRED OR                      REPLACED (UPPER),V*100688E14731/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890808.0,
14866,1,1000815,23.0,7.0,19880413,E,130842,80,BROADWAY,,,V*041388E130842,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19880523.0,212-78
20933,1,1000816,23.0,50.0,19881014,E,1391F-1,65,EXCHANGE PLACE,1P23524,(51)  PROPERTY TAG GOVENOR AFTER 5 YEARS SAFTY TEST,V*101488E1391F-1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891229.0,271-82
